time_s,dist_cm,dac_i2c
35.787,7.859375,1928
35.93,6.578125,1936
36.075,7.53125,1944
36.216,9.5,1952
36.356,11.984375,1960
36.503,15.09375,1968
36.65,18.5468752,1976
36.799,21.9218752,1984
36.946,25.28125,1992
37.091,28.15625,2000
37.238,30.5625,2008
37.385,33.0625,2016
37.528,34.859376,2024
37.714,35.28125,2032
37.86,32.34375,2040
38.005,28.2343736,2048
38.154,24.71875,2056
38.305,21.34375,2064
38.449,18.1406252,2072
38.596,15.25,2080
38.74,12.90625,2088
38.887,10.890625,2096
39.035,9.171875,2104
39.184,8.171875,2112
39.335,8.359375,2120
39.485,10.390625,2128
39.633,12.953125,2136
39.781,15.546875,2144
39.927,17.9218752,2152
40.124,21.09375,2160
40.275,23.2343736,2168
40.428,25.3593744,2176
40.586,27.71875,2184
40.734,30.046876,2192
40.886,32.109376,2200
41.037,32.453124,2208
41.192,29.84375,2216
41.339,26.3281252,2224
41.494,22.09375,2232
41.647,17.9218752,2240
41.802,15.25,2248
41.95,13.375,2256
42.096,11.546875,2264
42.247,9.984375,2272
42.397,8.640625,2280
42.589,8.53125,2288
42.743,10.765625,2296
42.896,13.046875,2304
43.048,15.59375,2312
43.199,18.625,2320
43.348,21.5,2328
43.493,24.1875,2336
43.64,26.6406252,2344
43.794,29.3593736,2352
43.953,31.640626,2360
44.109,32.34375,2368
44.265,28.78125,2376
44.418,24.5156252,2384
44.57,20.46875,2392
44.72,17.0,2400
44.869,14.046875,2408
45.07,10.953125,2416
45.222,8.921875,2424
45.374,7.171875,2432
45.531,8.671875,2440
45.686,11.734375,2448
45.837,15.078125,2456
45.99,19.03125,2464
46.139,22.875,2472
46.292,26.5625,2480
46.446,29.65625,2488
46.597,32.21875,2496
46.75,34.0625,2504
46.907,33.546876,2512
47.061,30.046876,2520
47.215,24.78125,2528
47.365,19.4843736,2536
47.554,13.765625,2544
47.711,10.234375,2552
47.865,8.015625,2560
48.016,7.453125,2568
48.174,10.015625,2576
48.329,13.140625,2584
48.486,16.8593744,2592
